location,checkout,dairy,drinks,fruit,spices
checkout,1.0,0.0,0.0,0.0,0.0
dairy,0.08947970268724986,0.7441395082904517,0.062321326472269865,0.05174385363064608,0.05231560891938251
drinks,0.20810942843185148,0.011235955056179775,0.6106497313141183,0.09086468001954079,0.07914020517830972
fruit,0.205859375,0.087890625,0.05078125,0.6078125,0.04765625
spices,0.1457654723127036,0.19136807817589577,0.1767100977198697,0.09690553745928339,0.38925081433224756
